"Alabama","Alabama",2
"Arizona","Arizona",24
"Arkansas","Arkansas",2
"California","California",59
"Colorado","Colorado",6
"Connecticut","Connecticut",4
"Delaware","Delaware",4
"Florida","Florida",21
"Georgia","Georgia",9
"Idaho","Idaho",1
"Illinois","Illinois",15
"Indiana","Indiana",11
"Iowa","Iowa",2
"Kansas","Kansas",28
"Louisiana","Louisiana",1
"Maine","Maine",1
"Maryland","Maryland",13
"Massachusetts","Massachusetts",12
"Michigan","Michigan",9
"Minnesota","Minnesota",6
"Missouri","Missouri",4
"Nevada","Nevada",8
"New Jersey","New Jersey",10
"New Mexico","New Mexico",1
"New York","New York",51
"North Carolina","North Carolina",9
"Ohio","Ohio",16
"Oklahoma","Oklahoma",4
"Oregon","Oregon",3
"Pennsylvania","Pennsylvania",21
"South Carolina","South Carolina",2
"Tennessee","Tennessee",2
"Texas","Texas",35
"Utah","Utah",1
"Vermont","Vermont",1
"Virginia","Virginia",12
"Washington","Washington",19
"West Virginia","West Virginia",1
"Wisconsin","Wisconsin",4
